temperature,rain,month,year
16.642,11.6739,1,1991
20.0355,10.0556,2,1991
24.1889,13.0567,3,1991
27.3531,51.3429,4,1991
30.2605,53.8939,5,1991
28.9311,164.781,6,1991
27.6065,225.825,7,1991
26.2556,248.645,8,1991
26.4251,126.23,9,1991
24.5762,51.4189,10,1991
20.7631,36.9585,11,1991
17.6094,12.5512,12,1991
16.8263,12.3999,1,1992
18.4072,14.5829,2,1992
24.01,11.2885,3,1992
27.6323,12.8496,4,1992
29.5222,47.5096,5,1992
29.7876,94.7782,6,1992
27.5861,220.994,7,1992
26.2313,242.329,8,1992
25.9002,157.851,9,1992
24.6237,55.7493,10,1992
21.0987,38.2194,11,1992
17.7518,3.53389,12,1992
17.3253,7.35231,1,1993
20.1322,13.3543,2,1993
22.7286,24.4697,3,1993
27.3275,19.4335,4,1993
30.2263,64.5284,5,1993
29.9435,142.658,6,1993
27.2327,239.945,7,1993
26.7428,174.048,8,1993
26.1197,191.799,9,1993
25.069,75.4546,10,1993
21.4534,22.0041,11,1993
17.7935,13.9513,12,1993
17.9238,20.7172,1,1994
19.1701,17.9974,2,1994
24.8727,14.492,3,1994
27.0726,30.4408,4,1994
30.4812,47.4379,5,1994
29.1086,179.885,6,1994
26.485,320.146,7,1994
26.2782,266.137,8,1994
26.2237,134.745,9,1994
24.5888,88.0855,10,1994
21.0012,23.7426,11,1994
17.6513,5.48291,12,1994
16.0098,24.4512,1,1995
19.5858,16.8354,2,1995
23.1747,21.3152,3,1995
27.3325,18.44,4,1995
29.9605,45.868,5,1995
30.6515,124.214,6,1995
27.4612,289.927,7,1995
26.7623,238.643,8,1995
26.5087,176.999,9,1995
25.3159,77.7832,10,1995
21.2798,27.7381,11,1995
18.3955,3.59911,12,1995
17.8268,16.7813,1,1996
20.0398,13.302,2,1996
25.0059,16.5252,3,1996
27.717,34.2782,4,1996
30.309,42.9219,5,1996
29.4867,161.641,6,1996
27.3916,236.322,7,1996
26.0153,254.773,8,1996
26.5663,130.065,9,1996
24.4623,92.4274,10,1996
20.9472,15.7925,11,1996
17.6419,8.42537,12,1996
16.5397,9.80304,1,1997
18.7763,3.91151,2,1997
23.9615,15.8902,3,1997
26.2504,38.2448,4,1997
29.1176,41.1111,5,1997
29.0985,149.317,6,1997
27.5368,207,7,1997
26.4873,264.946,8,1997
26.3174,143.743,9,1997
24.1876,59.451,10,1997
21.6311,59.179,11,1997
17.8159,35.8339,12,1997
17.2569,5.35149,1,1998
19.8976,17.4136,2,1998
23.1899,25.6335,3,1998
28.2385,32.5699,4,1998
30.9067,51.5337,5,1998
30.2929,146.892,6,1998
27.5391,261.403,7,1998
27.0552,238.153,8,1998
26.6861,174.615,9,1998
25.5502,109.313,10,1998
21.7733,40.1183,11,1998
17.9022,10.6872,12,1998
16.7506,8.55985,1,1999
20.5651,11.5521,2,1999
24.6289,3.86782,3,1999
